Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,1,27,7,1436,1430,1545,1530,WN,112,N608SW,129,120,114,15,6,SLC,LAX,590,6,9,0,,0,6,0,9,0,0
2008,3,2,7,2053,2055,2346,2346,UA,640,N837UA,113,111,84,0,-2,ORD,ATL,606,9,20,0,,0,NA,NA,NA,NA,NA
2008,4,11,5,551,600,708,700,AS,325,N593AS,77,60,48,8,-9,GEG,SEA,224,7,22,0,,0,NA,NA,NA,NA,NA
2008,4,15,2,1347,1347,1550,1527,NW,768,N671MC,123,100,93,23,0,DTW,MHT,609,7,23,0,,0,0,0,23,0,0
2008,2,11,1,1438,1430,1637,1630,CO,877,N16648,119,120,87,7,8,EWR,DTW,487,9,23,0,,0,NA,NA,NA,NA,NA
2008,2,21,4,1116,1125,1347,1330,MQ,3367,N694AE,211,185,182,17,-9,CHS,DFW,987,18,11,0,,0,0,0,17,0,0
2008,1,31,4,1507,1340,2242,2110,WN,3050,N742SW,275,270,238,92,87,LAS,BWI,2106,5,32,0,,0,0,0,5,0,87
2008,4,7,1,857,900,1117,1120,NW,215,N511US,140,140,110,-3,-3,BOS,DTW,632,11,19,0,,0,NA,NA,NA,NA,NA
2008,4,2,3,754,755,910,910,WN,287,N602SW,76,75,63,0,-1,SMF,ONT,389,4,9,0,,0,NA,NA,NA,NA,NA
2008,3,11,2,650,550,624,544,YV,7408,N515MJ,34,54,23,40,60,SBN,ORD,84,5,6,0,,0,0,40,0,0,0
2008,4,16,3,929,931,1125,1118,NW,273,N518US,296,287,275,7,-2,DTW,SAN,1957,3,18,0,,0,NA,NA,NA,NA,NA
